Produto,Classificação,Uni/Peso,Menor,Comum,Maior,Quilo
ALHO DESCASCADO,-,KG,1852,1926,20,1
ALHO IMP. ARGENTINA,TIPO 5,KG,949,999,1049,1
ALHO IMP. ARGENTINA,TIPO 6,KG,1049,1099,1148,1
ALHO IMP. ARGENTINA,TIPO 7,KG,1174,1225,1274,1
ALHO NACIONAL,TIPO 5,KG,1657,1757,1858,1
ALHO NACIONAL,TIPO 6,KG,1881,1981,2081,1
ALHO NACIONAL,TIPO 7,KG,2245,2345,2445,1
ALHO NACIONAL,TIPO 8,KG,2854,2954,3054,1
AMENDOIM COM PELE,-,KG,683,713,733,1
AMENDOIM SEM PELE,-,KG,724,744,774,1
BATATA ASTERIX,-,KG,202,24,281,1
BATATA ESCOVADA,ESPECIAL,KG,28,32,36,1
BATATA ESCOVADA,NOIVA,KG,36,4,44,1
BATATA LAVADA,1A. ESPECIALZINHA,KG,099,121,145,1
BATATA LAVADA,2A. BOLINHA,KG,414,451,49,1
BATATA LAVADA,BONECA,KG,099,121,145,1
BATATA LAVADA,ESPECIAL,KG,2,25,3,1
BATATA LAVADA,FLORÃO,KG,168,197,227,1
BATATA LAVADA,NOIVA,KG,309,335,363,1
CEBOLA NACIONAL,CAIXA 2,KG,165,177,189,1
CEBOLA NACIONAL,CAIXA 3,KG,225,235,249,1
CEBOLA NACIONAL,CAIXA 4,KG,191,203,216,1
CEBOLA ROXA,CAIXA 2,KG,354,393,418,1
CEBOLA ROXA,CAIXA 3,KG,532,557,582,1
CEBOLA ROXA,CAIXA 4,KG,455,493,532,1
COCO SECO,-,SC,5181,545,5681,20
OVOS BRANCOS,EXTRA,CX,16176,16359,16506,22
OVOS BRANCOS,GRANDE,CX,15412,15629,15911,22
OVOS BRANCOS,JUMBO,CX,18386,1884,19299,22
OVOS BRANCOS EMBALADOS,EXTRA,BJ,136,1418,1474,2
OVOS BRANCOS EMBALADOS,GRANDE,BJ,1231,1287,1345,2
OVOS CODORNA,-,BJ,578,629,678,025
OVOS VERMELHOS,EXTRA,CX,16925,17316,17705,22
